"Quadrant","FID_","Tree_ID","Latitude","Longitude","Germ_Year","Cohort","Age_2013","GNSS_Ht","Numer_Orde","Z","Y","X","Tree.ID","Height_Tree..cm."
7,928,"821",38.860629,-105.09168,1987,"1975-1999",25.8695,3605.03,862,3604.982673,4301314.617,492045.7183,"821","29"
7,1074,"959",38.86082,-105.091358,1978,"1975-1999",34.3277,3611.583,1008,3611.155268,4301335.784,492073.6767,"959","73"
7,946,"838",38.860633,-105.091722,1985,"1975-1999",27.7491,3604.282,880,3603.968561,4301315.065,492042.0748,"838","60"
7,650,"557",38.860645,-105.091125,1991,"1975-1999",21.1705,3620.513,583,3620.403773,4301316.344,492093.8726,"557","16"
7,1043,"929",38.860772,-105.091445,1950,"1950-1974",62.5653,3607.241,977,3607.730143,4301330.465,492066.1231,"929","220"
7,1014,"902",38.860818,-105.091252,1945,"1925-1949",67.9157,3610.756,948,3610.879769,4301335.553,492082.8731,"902","200"
7,793,"698",38.860651,-105.091366,1991,"1975-1999",21.1705,3611.213,726,3611.574047,4301317.031,492072.9638,"698","30"
7,871,"763",38.860613,-105.091615,1989,"1975-1999",23.9899,3607.574,804,3607.109347,4301312.836,492051.356,"763","24"
7,1137,"1022",38.860912,-105.09137,1969,"1950-1974",43.7257,3607.83,1071,3607.700634,4301345.994,492072.6458,"1022","220"
7,737,"644",38.860558,-105.091366,1977,"1975-1999",35.2675,3616.154,670,3616.327202,4301306.711,492072.9535,"644","56"
7,947,"839",38.860638,-105.091715,1937,"1925-1949",75.1749,3602.926,881,3603.199092,4301315.619,492042.6827,"839","600"
7,1166,"1051",38.860666,-105.091747,1982,"1975-1999",30.5685,3601.122,1100,3601.673579,4301318.729,492039.9094,"1051","108"
7,1126,"1011",38.86087,-105.09132,1983,"1975-1999",29.6287,3609.938,1060,3609.941778,4301341.329,492076.9791,"1011","14"
7,974,"866",38.86071,-105.0917,1897,"1875-1899",115.2661,3602.608,908,3602.692315,4301323.607,492043.9921,"866","880"
7,1087,"972",38.860819,-105.091398,1993,"1975-1999",19.2909,3607.153,1021,3607.599382,4301335.677,492070.2061,"972","42"
7,945,"837",38.86063,-105.091729,1982,"1975-1999",30.5685,3603.22,879,3603.554358,4301314.732,492041.4671,"837","49"
7,1134,"1019",38.86087,-105.091362,1980,"1975-1999",32.4481,3607.848,1068,3608.111017,4301341.333,492073.3352,"1019","146"
7,1093,"978",38.860833,-105.091459,1906,"1900-1924",106.4997,3602.115,1027,3602.796278,4301337.235,492064.9152,"978","820"
